videoName,contentIndex,sourceSpatialResolution,sourceFrameRate,processedSpatialResolution,processedFrameRateRatio,bitrate,bitrateLevel
Discuss_1080p_60hz_q_25,4,2160,60,1080,1,2.88,2
Discuss_1080p_60hz_q_29,4,2160,60,1080,1,1.36,3
Discuss_1080p_60hz_q_35,4,2160,60,1080,1,0.53,4
Discuss_1080p_60hz_q_39,4,2160,60,1080,1,0.31,5
Discuss_2160p_30hz_q_31,4,2160,60,2160,0.5,2.73,2
Discuss_2160p_30hz_q_35,4,2160,60,2160,0.5,1.24,3
Discuss_2160p_30hz_q_41,4,2160,60,2160,0.5,0.52,4
Discuss_2160p_30hz_q_45,4,2160,60,2160,0.5,0.31,5
Discuss_2160p_60hz_q_27,4,2160,60,2160,1,13.02,1
Discuss_2160p_60hz_q_33,4,2160,60,2160,1,2.42,2
Discuss_2160p_60hz_q_37,4,2160,60,2160,1,1.24,3
Discuss_2160p_60hz_q_43,4,2160,60,2160,1,0.58,4
Discuss_2160p_60hz_q_49,4,2160,60,2160,1,0.32,5
Discuss_540p_30hz_q_17,4,2160,60,540,0.5,2.6,2
Discuss_540p_30hz_q_21,4,2160,60,540,0.5,1.32,3
Discuss_540p_30hz_q_29,4,2160,60,540,0.5,0.37,5
Discuss_540p_60hz_q_19,4,2160,60,540,1,2.4,2
Discuss_540p_60hz_q_23,4,2160,60,540,1,1.18,3
Discuss_540p_60hz_q_31,4,2160,60,540,1,0.33,5
Discuss_720p_30hz_q_21,4,2160,60,720,0.5,2.18,2
Discuss_720p_30hz_q_25,4,2160,60,720,0.5,1.09,3
Discuss_720p_30hz_q_29,4,2160,60,720,0.5,0.57,4
Discuss_720p_30hz_q_33,4,2160,60,720,0.5,0.31,5
Discuss_720p_60hz_q_21,4,2160,60,720,1,2.9,2
Discuss_720p_60hz_q_25,4,2160,60,720,1,1.38,3
Discuss_720p_60hz_q_31,4,2160,60,720,1,0.51,4
Discuss_720p_60hz_q_35,4,2160,60,720,1,0.28,5
Football_1080p_30hz_q_27,5,2160,60,1080,0.5,8.53,2
Football_1080p_30hz_q_31,5,2160,60,1080,0.5,4.94,3
Football_1080p_30hz_q_35,5,2160,60,1080,0.5,2.75,4
Football_1080p_30hz_q_41,5,2160,60,1080,0.5,1.13,5
Football_1080p_60hz_q_29,5,2160,60,1080,1,8.56,2
Football_1080p_60hz_q_33,5,2160,60,1080,1,4.8,3
Football_1080p_60hz_q_37,5,2160,60,1080,1,2.68,4
Football_1080p_60hz_q_43,5,2160,60,1080,1,1.1,5
Football_2160p_30hz_q_33,5,2160,60,2160,0.5,9.75,2
Football_2160p_30hz_q_39,5,2160,60,2160,0.5,4.31,3
Football_2160p_30hz_q_43,5,2160,60,2160,0.5,2.44,4
Football_2160p_30hz_q_47,5,2160,60,2160,0.5,1.39,5
Football_2160p_60hz_q_27,5,2160,60,2160,1,34.79,1
Football_2160p_60hz_q_35,5,2160,60,2160,1,9.94,2
Football_2160p_60hz_q_41,5,2160,60,2160,1,4.4,3
Football_2160p_60hz_q_45,5,2160,60,2160,1,2.53,4
Football_2160p_60hz_q_51,5,2160,60,2160,1,1.24,5
Football_540p_30hz_q_17,5,2160,60,540,0.5,11.16,2
Football_540p_30hz_q_23,5,2160,60,540,0.5,5.04,3
Football_540p_30hz_q_33,5,2160,60,540,0.5,1.28,5
Football_540p_60hz_q_21,5,2160,60,540,1,9.65,2
Football_540p_60hz_q_27,5,2160,60,540,1,3.99,3
Football_540p_60hz_q_35,5,2160,60,540,1,1.25,5
Football_720p_30hz_q_21,5,2160,60,720,0.5,10.85,2
Football_720p_30hz_q_27,5,2160,60,720,0.5,4.53,3
Football_720p_30hz_q_31,5,2160,60,720,0.5,2.62,4
Football_720p_30hz_q_37,5,2160,60,720,0.5,1.09,5
Football_720p_60hz_q_25,5,2160,60,720,1,8.47,2
Football_720p_60hz_q_29,5,2160,60,720,1,4.67,3
Football_720p_60hz_q_33,5,2160,60,720,1,2.6,4
Football_720p_60hz_q_39,5,2160,60,720,1,1.05,5
HoneyBee_1080p_120hz_q_23,6,2160,120,1080,1,2.8,2
HoneyBee_1080p_120hz_q_27,6,2160,120,1080,1,1.26,3
HoneyBee_1080p_120hz_q_33,6,2160,120,1080,1,0.69,4
HoneyBee_1080p_120hz_q_37,6,2160,120,1080,1,0.49,5
HoneyBee_1080p_60hz_q_23,6,2160,120,1080,0.5,2.34,2
HoneyBee_1080p_60hz_q_27,6,2160,120,1080,0.5,1.08,3
HoneyBee_1080p_60hz_q_31,6,2160,120,1080,0.5,0.69,4
HoneyBee_1080p_60hz_q_35,6,2160,120,1080,0.5,0.48,5
HoneyBee_2160p_120hz_q_25,6,2160,120,2160,1,22.68,1
HoneyBee_2160p_120hz_q_29,6,2160,120,2160,1,3.2,2
HoneyBee_2160p_120hz_q_35,6,2160,120,2160,1,1.28,3
HoneyBee_2160p_120hz_q_43,6,2160,120,2160,1,0.76,4
HoneyBee_2160p_120hz_q_51,6,2160,120,2160,1,0.5,5
HoneyBee_2160p_60hz_q_29,6,2160,120,2160,0.5,2.72,2
HoneyBee_2160p_60hz_q_33,6,2160,120,2160,0.5,1.26,3
HoneyBee_2160p_60hz_q_39,6,2160,120,2160,0.5,0.73,4
HoneyBee_2160p_60hz_q_45,6,2160,120,2160,0.5,0.49,5
HoneyBee_540p_120hz_q_17,6,2160,120,540,1,2.89,2
HoneyBee_540p_120hz_q_25,6,2160,120,540,1,0.69,4
HoneyBee_540p_120hz_q_29,6,2160,120,540,1,0.45,5
HoneyBee_540p_60hz_q_19,6,2160,120,540,0.5,1.39,3
HoneyBee_540p_60hz_q_23,6,2160,120,540,0.5,0.76,4
HoneyBee_540p_60hz_q_27,6,2160,120,540,0.5,0.49,5
HoneyBee_720p_120hz_q_19,6,2160,120,720,1,3.27,2
HoneyBee_720p_120hz_q_27,6,2160,120,720,1,0.76,4
HoneyBee_720p_120hz_q_31,6,2160,120,720,1,0.51,5
HoneyBee_720p_60hz_q_19,6,2160,120,720,0.5,2.55,2
HoneyBee_720p_60hz_q_27,6,2160,120,720,0.5,0.67,4
HoneyBee_720p_60hz_q_31,6,2160,120,720,0.5,0.44,5
Jockey_1080p_120hz_q_27,7,2160,120,1080,1,7.84,2
Jockey_1080p_120hz_q_31,7,2160,120,1080,1,5,3
Jockey_1080p_120hz_q_35,7,2160,120,1080,1,3.16,4
Jockey_1080p_120hz_q_41,7,2160,120,1080,1,1.67,5
Jockey_1080p_60hz_q_25,7,2160,120,1080,0.5,7.79,2
Jockey_1080p_60hz_q_33,7,2160,120,1080,0.5,2.99,4
Jockey_1080p_60hz_q_37,7,2160,120,1080,0.5,1.88,5
Jockey_2160p_120hz_q_25,7,2160,120,2160,1,46.9,1
Jockey_2160p_120hz_q_33,7,2160,120,2160,1,8.09,2
Jockey_2160p_120hz_q_39,7,2160,120,2160,1,5.44,3
Jockey_2160p_120hz_q_45,7,2160,120,2160,1,2.92,4
Jockey_2160p_120hz_q_51,7,2160,120,2160,1,1.77,5
Jockey_2160p_60hz_q_33,7,2160,120,2160,0.5,7.85,2
Jockey_2160p_60hz_q_37,7,2160,120,2160,0.5,5.23,3
Jockey_2160p_60hz_q_43,7,2160,120,2160,0.5,2.81,4
Jockey_2160p_60hz_q_47,7,2160,120,2160,0.5,1.75,5
Jockey_540p_120hz_q_23,7,2160,120,540,1,5.75,3
Jockey_540p_120hz_q_29,7,2160,120,540,1,2.75,4
Jockey_540p_120hz_q_33,7,2160,120,540,1,1.69,5
Jockey_540p_60hz_q_21,7,2160,120,540,0.5,5.25,3
Jockey_540p_60hz_q_25,7,2160,120,540,0.5,3.21,4
Jockey_540p_60hz_q_31,7,2160,120,540,0.5,1.56,5
Jockey_720p_120hz_q_23,7,2160,120,720,1,7.99,2
Jockey_720p_120hz_q_27,7,2160,120,720,1,4.79,3
Jockey_720p_120hz_q_31,7,2160,120,720,1,2.93,4
Jockey_720p_120hz_q_35,7,2160,120,720,1,1.84,5
Jockey_720p_60hz_q_21,7,2160,120,720,0.5,7.66,2
Jockey_720p_60hz_q_29,7,2160,120,720,0.5,2.73,4
Jockey_720p_60hz_q_33,7,2160,120,720,0.5,1.72,5
Monkeys_1080p_30hz_q_27,8,2160,60,1080,0.5,6.11,2
Monkeys_1080p_30hz_q_33,8,2160,60,1080,0.5,2.5,3
Monkeys_1080p_30hz_q_37,8,2160,60,1080,0.5,1.33,4
Monkeys_1080p_30hz_q_41,8,2160,60,1080,0.5,0.71,5
Monkeys_1080p_60hz_q_29,8,2160,60,1080,1,6.06,2
Monkeys_1080p_60hz_q_37,8,2160,60,1080,1,1.67,4
Monkeys_1080p_60hz_q_43,8,2160,60,1080,1,0.64,5
Monkeys_2160p_30hz_q_33,8,2160,60,2160,0.5,6.74,2
Monkeys_2160p_30hz_q_39,8,2160,60,2160,0.5,2.8,3
Monkeys_2160p_30hz_q_43,8,2160,60,2160,0.5,1.52,4
Monkeys_2160p_30hz_q_49,8,2160,60,2160,0.5,0.61,5
Monkeys_2160p_60hz_q_27,8,2160,60,2160,1,22.77,1
Monkeys_2160p_60hz_q_35,8,2160,60,2160,1,7.02,2
Monkeys_2160p_60hz_q_41,8,2160,60,2160,1,2.79,3
Monkeys_2160p_60hz_q_45,8,2160,60,2160,1,1.52,4
Monkeys_2160p_60hz_q_51,8,2160,60,2160,1,0.69,5
Monkeys_540p_30hz_q_17,8,2160,60,540,0.5,7.25,2
Monkeys_540p_30hz_q_25,8,2160,60,540,0.5,2.59,3
Monkeys_540p_30hz_q_29,8,2160,60,540,0.5,1.43,4
Monkeys_540p_30hz_q_33,8,2160,60,540,0.5,0.78,5
Monkeys_540p_60hz_q_19,8,2160,60,540,1,8.1,2
Monkeys_540p_60hz_q_27,8,2160,60,540,1,2.54,3
Monkeys_540p_60hz_q_31,8,2160,60,540,1,1.34,4
Monkeys_540p_60hz_q_35,8,2160,60,540,1,0.71,5
Monkeys_720p_30hz_q_21,8,2160,60,720,0.5,7.45,2
Monkeys_720p_30hz_q_31,8,2160,60,720,0.5,1.73,4
Monkeys_720p_30hz_q_37,8,2160,60,720,0.5,0.67,5
Monkeys_720p_60hz_q_23,8,2160,60,720,1,7.85,2
Monkeys_720p_60hz_q_33,8,2160,60,720,1,1.6,4
Monkeys_720p_60hz_q_39,8,2160,60,720,1,0.6,5
Narrator_1080p_30hz_q_25,9,2160,60,1080,0.5,2.83,2
Narrator_1080p_30hz_q_29,9,2160,60,1080,0.5,1.73,3
Narrator_1080p_30hz_q_35,9,2160,60,1080,0.5,0.87,4
Narrator_1080p_30hz_q_39,9,2160,60,1080,0.5,0.56,5
Narrator_1080p_60hz_q_27,9,2160,60,1080,1,2.81,2
Narrator_1080p_60hz_q_31,9,2160,60,1080,1,1.73,3
Narrator_1080p_60hz_q_37,9,2160,60,1080,1,0.88,4
Narrator_1080p_60hz_q_41,9,2160,60,1080,1,0.57,5
Narrator_2160p_30hz_q_31,9,2160,60,2160,0.5,3.15,2
Narrator_2160p_30hz_q_37,9,2160,60,2160,0.5,1.52,3
Narrator_2160p_30hz_q_43,9,2160,60,2160,0.5,0.81,4
Narrator_2160p_30hz_q_47,9,2160,60,2160,0.5,0.54,5
Narrator_2160p_60hz_q_25,9,2160,60,2160,1,12.87,1
Narrator_2160p_60hz_q_33,9,2160,60,2160,1,3.11,2
Narrator_2160p_60hz_q_39,9,2160,60,2160,1,1.56,3
Narrator_2160p_60hz_q_45,9,2160,60,2160,1,0.85,4
Narrator_2160p_60hz_q_51,9,2160,60,2160,1,0.53,5
Narrator_540p_30hz_q_17,9,2160,60,540,0.5,3.5,2
Narrator_540p_30hz_q_23,9,2160,60,540,0.5,1.65,3
Narrator_540p_30hz_q_33,9,2160,60,540,0.5,0.5,5
Narrator_540p_60hz_q_19,9,2160,60,540,1,3.5,2
Narrator_540p_60hz_q_25,9,2160,60,540,1,1.6,3
Narrator_540p_60hz_q_35,9,2160,60,540,1,0.47,5
Narrator_720p_30hz_q_21,9,2160,60,720,0.5,2.94,2
Narrator_720p_30hz_q_25,9,2160,60,720,0.5,1.78,3
Narrator_720p_30hz_q_31,9,2160,60,720,0.5,0.87,4
Narrator_720p_30hz_q_35,9,2160,60,720,0.5,0.55,5
Narrator_720p_60hz_q_23,9,2160,60,720,1,2.88,2
Narrator_720p_60hz_q_27,9,2160,60,720,1,1.73,3
Narrator_720p_60hz_q_33,9,2160,60,720,1,0.85,4
Narrator_720p_60hz_q_37,9,2160,60,720,1,0.53,5
Ready_1080p_120hz_q_31,10,2160,120,1080,1,11.76,2
Ready_1080p_120hz_q_37,10,2160,120,1080,1,5.65,3
Ready_1080p_120hz_q_43,10,2160,120,1080,1,2.66,5
Ready_1080p_60hz_q_27,10,2160,120,1080,0.5,13.19,2
Ready_1080p_60hz_q_33,10,2160,120,1080,0.5,6.5,3
Ready_1080p_60hz_q_37,10,2160,120,1080,0.5,4.05,4
Ready_1080p_60hz_q_41,10,2160,120,1080,0.5,2.49,5
Ready_2160p_120hz_q_27,10,2160,120,2160,1,41.91,1
Ready_2160p_120hz_q_37,10,2160,120,2160,1,12.42,2
Ready_2160p_120hz_q_43,10,2160,120,2160,1,6.28,3
Ready_2160p_120hz_q_47,10,2160,120,2160,1,3.9,4
Ready_2160p_120hz_q_51,10,2160,120,2160,1,2.74,5
Ready_2160p_60hz_q_35,10,2160,120,2160,0.5,11.44,2
Ready_2160p_60hz_q_41,10,2160,120,2160,0.5,5.84,3
Ready_2160p_60hz_q_45,10,2160,120,2160,0.5,3.71,4
Ready_2160p_60hz_q_47,10,2160,120,2160,0.5,2.89,5
Ready_540p_120hz_q_25,10,2160,120,540,1,11.94,2
Ready_540p_120hz_q_33,10,2160,120,540,1,4.26,4
Ready_540p_120hz_q_37,10,2160,120,540,1,2.47,5
Ready_540p_60hz_q_21,10,2160,120,540,0.5,12.79,2
Ready_540p_60hz_q_27,10,2160,120,540,0.5,6.32,3
Ready_540p_60hz_q_33,10,2160,120,540,0.5,2.99,5
Ready_720p_120hz_q_27,10,2160,120,720,1,12.48,2
Ready_720p_120hz_q_33,10,2160,120,720,1,5.87,3
Ready_720p_120hz_q_39,10,2160,120,720,1,2.68,5
Ready_720p_60hz_q_23,10,2160,120,720,0.5,13.79,2
Ready_720p_60hz_q_29,10,2160,120,720,0.5,6.78,3
Ready_720p_60hz_q_33,10,2160,120,720,0.5,4.14,4
Ready_720p_60hz_q_37,10,2160,120,720,0.5,2.5,5
Ritual_1080p_30hz_q_27,11,2160,60,1080,0.5,6.29,2
Ritual_1080p_30hz_q_31,11,2160,60,1080,0.5,3.88,3
Ritual_1080p_30hz_q_35,11,2160,60,1080,0.5,2.37,4
Ritual_1080p_30hz_q_39,11,2160,60,1080,0.5,1.42,5
Ritual_1080p_60hz_q_31,11,2160,60,1080,1,5.52,2
Ritual_1080p_60hz_q_37,11,2160,60,1080,1,2.6,4
Ritual_1080p_60hz_q_41,11,2160,60,1080,1,1.55,5
Ritual_2160p_30hz_q_33,11,2160,60,2160,0.5,6.83,2
Ritual_2160p_30hz_q_39,11,2160,60,2160,0.5,3.41,3
Ritual_2160p_30hz_q_43,11,2160,60,2160,0.5,2.12,4
Ritual_2160p_30hz_q_47,11,2160,60,2160,0.5,1.31,5
Ritual_2160p_60hz_q_29,11,2160,60,2160,1,15.43,1
Ritual_2160p_60hz_q_37,11,2160,60,2160,1,6.02,2
Ritual_2160p_60hz_q_41,11,2160,60,2160,1,3.78,3
Ritual_2160p_60hz_q_45,11,2160,60,2160,1,2.3,4
Ritual_2160p_60hz_q_49,11,2160,60,2160,1,1.45,5
Ritual_540p_30hz_q_21,11,2160,60,540,0.5,5.78,2
Ritual_540p_30hz_q_29,11,2160,60,540,0.5,2.19,4
Ritual_540p_30hz_q_33,11,2160,60,540,0.5,1.3,5
Ritual_540p_60hz_q_23,11,2160,60,540,1,6.79,2
Ritual_540p_60hz_q_31,11,2160,60,540,1,2.44,4
Ritual_540p_60hz_q_35,11,2160,60,540,1,1.42,5
Ritual_720p_30hz_q_23,11,2160,60,720,0.5,6.4,2
Ritual_720p_30hz_q_31,11,2160,60,720,0.5,2.4,4
Ritual_720p_30hz_q_35,11,2160,60,720,0.5,1.43,5
Ritual_720p_60hz_q_27,11,2160,60,720,1,5.7,2
Ritual_720p_60hz_q_33,11,2160,60,720,1,2.65,4
Ritual_720p_60hz_q_37,11,2160,60,720,1,1.55,5
SeaRock_1080p_30hz_q_25,12,2160,60,1080,0.5,3.07,2
SeaRock_1080p_30hz_q_29,12,2160,60,1080,0.5,1.68,3
SeaRock_1080p_30hz_q_35,12,2160,60,1080,0.5,0.69,4
SeaRock_1080p_30hz_q_39,12,2160,60,1080,0.5,0.38,5
SeaRock_1080p_60hz_q_27,12,2160,60,1080,1,2.82,2
SeaRock_1080p_60hz_q_31,12,2160,60,1080,1,1.52,3
SeaRock_1080p_60hz_q_37,12,2160,60,1080,1,0.63,4
SeaRock_1080p_60hz_q_41,12,2160,60,1080,1,0.37,5
SeaRock_2160p_30hz_q_31,12,2160,60,2160,0.5,3.53,2
SeaRock_2160p_30hz_q_37,12,2160,60,2160,0.5,1.37,3
SeaRock_2160p_30hz_q_43,12,2160,60,2160,0.5,0.6,4
SeaRock_2160p_30hz_q_47,12,2160,60,2160,0.5,0.37,5
SeaRock_2160p_60hz_q_27,12,2160,60,2160,1,13.47,1
SeaRock_2160p_60hz_q_33,12,2160,60,2160,1,3.34,2
SeaRock_2160p_60hz_q_39,12,2160,60,2160,1,1.4,3
SeaRock_2160p_60hz_q_45,12,2160,60,2160,1,0.66,4
SeaRock_2160p_60hz_q_51,12,2160,60,2160,1,0.39,5
SeaRock_540p_30hz_q_17,12,2160,60,540,0.5,3.35,2
SeaRock_540p_30hz_q_23,12,2160,60,540,0.5,1.51,3
SeaRock_540p_30hz_q_33,12,2160,60,540,0.5,0.34,5
SeaRock_540p_60hz_q_19,12,2160,60,540,1,3.38,2
SeaRock_540p_60hz_q_25,12,2160,60,540,1,1.36,3
SeaRock_540p_60hz_q_33,12,2160,60,540,1,0.41,5
SeaRock_720p_30hz_q_21,12,2160,60,720,0.5,3.01,2
SeaRock_720p_30hz_q_25,12,2160,60,720,0.5,1.69,3
SeaRock_720p_30hz_q_31,12,2160,60,720,0.5,0.69,4
SeaRock_720p_30hz_q_35,12,2160,60,720,0.5,0.37,5
SeaRock_720p_60hz_q_23,12,2160,60,720,1,2.8,2
SeaRock_720p_60hz_q_27,12,2160,60,720,1,1.52,3
SeaRock_720p_60hz_q_33,12,2160,60,720,1,0.62,4
SeaRock_720p_60hz_q_37,12,2160,60,720,1,0.35,5
Toddler_1080p_30hz_q_29,13,2160,60,1080,0.5,28.6,2
Toddler_1080p_30hz_q_33,13,2160,60,1080,0.5,15.88,3
Toddler_1080p_30hz_q_37,13,2160,60,1080,0.5,8.31,4
Toddler_1080p_30hz_q_41,13,2160,60,1080,0.5,4.18,5
Toddler_1080p_60hz_q_33,13,2160,60,1080,1,29.52,2
Toddler_1080p_60hz_q_37,13,2160,60,1080,1,15.15,3
Toddler_1080p_60hz_q_43,13,2160,60,1080,1,5.12,5
Toddler_2160p_30hz_q_35,13,2160,60,2160,0.5,30.65,2
Toddler_2160p_30hz_q_39,13,2160,60,2160,0.5,16.72,3
Toddler_2160p_30hz_q_43,13,2160,60,2160,0.5,8.74,4
Toddler_2160p_30hz_q_47,13,2160,60,2160,0.5,4.41,5
Toddler_2160p_60hz_q_35,13,2160,60,2160,1,57.6,1
Toddler_2160p_60hz_q_39,13,2160,60,2160,1,30.96,2
Toddler_2160p_60hz_q_43,13,2160,60,2160,1,15.86,3
Toddler_2160p_60hz_q_47,13,2160,60,2160,1,7.82,4
Toddler_2160p_60hz_q_51,13,2160,60,2160,1,4.8,5
Toddler_540p_30hz_q_19,13,2160,60,540,0.5,29.46,2
Toddler_540p_30hz_q_25,13,2160,60,540,0.5,15.98,3
Toddler_540p_30hz_q_33,13,2160,60,540,0.5,5.25,5
Toddler_540p_60hz_q_25,13,2160,60,540,1,30.12,2
Toddler_540p_60hz_q_29,13,2160,60,540,1,17.77,3
Toddler_540p_60hz_q_37,13,2160,60,540,1,4.77,5
Toddler_720p_30hz_q_23,13,2160,60,720,0.5,32.61,2
Toddler_720p_30hz_q_29,13,2160,60,720,0.5,15.45,3
Toddler_720p_30hz_q_33,13,2160,60,720,0.5,8.45,4
Toddler_720p_30hz_q_37,13,2160,60,720,0.5,4.35,5
Toddler_720p_60hz_q_29,13,2160,60,720,1,28.91,2
Toddler_720p_60hz_q_33,13,2160,60,720,1,15.48,3
Toddler_720p_60hz_q_37,13,2160,60,720,1,7.79,4
Toddler_720p_60hz_q_39,13,2160,60,720,1,5.42,5
Tunnel_1080p_30hz_q_29,14,2160,60,1080,0.5,9.17,2
Tunnel_1080p_30hz_q_33,14,2160,60,1080,0.5,5.4,3
Tunnel_1080p_30hz_q_37,14,2160,60,1080,0.5,3.31,4
Tunnel_1080p_30hz_q_41,14,2160,60,1080,0.5,2.14,5
Tunnel_1080p_60hz_q_31,14,2160,60,1080,1,8.88,2
Tunnel_1080p_60hz_q_35,14,2160,60,1080,1,5.26,3
Tunnel_1080p_60hz_q_39,14,2160,60,1080,1,3.33,4
Tunnel_1080p_60hz_q_43,14,2160,60,1080,1,2.2,5
Tunnel_2160p_30hz_q_35,14,2160,60,2160,0.5,9.62,2
Tunnel_2160p_30hz_q_39,14,2160,60,2160,0.5,5.94,3
Tunnel_2160p_30hz_q_47,14,2160,60,2160,0.5,2.54,5
Tunnel_2160p_60hz_q_27,14,2160,60,2160,1,36.56,1
